Station ID	Station.Code	Station name	Station ID	Station Code	longitude	latitude	Catch_area_km2	runoff_mm/yr	Depth (m)	Lake_area_km2	Forest_Area %	Cultivated_Area %	Peat_Area %	Glacier_Area %	Water_ex_lake_Area %	Heath_Area %	Lake_Area %	Res_time_years
88	13.02.1929	Daudmannsvatn	88	13.02.1929	17.4059	69.331	5.29	2018	14.37	0.66	0	0	0.2	0	2.2	97.6	12.5	0.89
89	13.01.2011	HOH 510	89	13.01.2011	23.7033	68.8681	0.43	449	0.73	0.07	0	0	1.5	0	6.2	92.3	16.3	0.5
90	29.01.2011	HOH 407	90	29.01.2011	24.4007	68.8773	0.28	343	1.21	0.08	0	0	1.8	0	1.8	96.4	28.2	0.99
91	2011-1-60	HOH 414	91	2011-1-60	23.4544	69.0464	0.3	363	1.25	0.05	60	0	12	0	0	28	16.8	0.58
92	2011-2-34	Guolehisjavri	92	2011-2-34	22.2687	68.9111	1.98	386	1.52	0.36	50.8	0	12	0	0	37.2	18.1	0.72
93	2020-2-30	HOH 515	93	2020-2-30	25.3901	70.1664	1.37	724	3.89	0.1	0	0	0.6	0	1.1	98.3	7.3	0.5
94	2022-1-42	HOH 292	94	2022-1-42	27.4221	70.7343	1.53	1029	3.43	0.08	0	0	0	0	3.7	96.3	5.2	0.5
95	2022-1-45	HOH 561	95	2022-1-45	26.7269	70.1634	0.76	814	2.66	0.04	0	0	0	0	5.3	94.7	5.3	0.5
97	2023-1-63	HOH 323	97	2023-1-63	28.0818	70.8379	1.29	763	3.45	0.04	0	0	0	0	3.3	96.7	3.1	0.5
98	2025-1-57	HOH 450	98	2025-1-57	28.7918	70.5425	3.22	872	4.91	0.05	0	0	0	0	0.7	99.3	1.6	0.5
115	831-501	Br?vatn	115	831-501	7.726	59.2929	4.03	1165	25.83	1.25	38	0	0	0	3.25	58.75	31	6.88
116	1640-603	Tufsingen	116	1640-603	11.8759	62.6107	4.87	479	12.66	1.38	38.83	0	0	0	0	61.17	28.4	7.5
135	1228-501	Steinavatn	135	1228-501	6.58	59.8545	4.25	3284	15.06	0.85	0	0	0	0	1.16	98.84	20	0.92
137	620-502	Storekr?kja	137	620-502	7.7857	60.4372	50.52	984	8.73	4	0	0	0	0	11.96	88.04	7.9	0.7
166	1018-4	Kleivsetvatn	166	1018-4	7.6772	58.1092	17.83	1446	12.12	0.57	93.88	0	0.61	0	3.03	2.48	3.2	0.5
171	1840-601	Kjem?atn	171	1840-601	15.4094	66.7683	36.47	861	11.53	2.6	6.36	0	0.91	0.61	0	92.12	7.1	0.95
187	429-601	Holmsj?en	187	429-601	11.6214	61.149	4.96	625	4.47	1.15	77.12	0	3.39	0	0	19.49	23.2	1.66
193	1725-3-14	Bj?rfarvatnet	193	1725-3-14	10.9849	64.2762	3.63	1586	14.48	1.01	5.26	0	10.53	0	0	84.21	27.8	2.54
2998	101-2-2	Steinsvatnet	2998	101-2-2	11.6527	59.1001	4.33	617	3.46	0.21	86.7	0	2.2	0	6.5	4.6	4.8	0.5
2999	101-4-1	Femsj?en	2999	101-4-1	11.4447	59.1271	1573.37	395	18.14	10.64	68.3	10.5	8.2	0	12.1	0.9	0.7	0.5
3000	105-3-6	Isesj?en	3000	105-3-6	11.2383	59.2988	139.96	511	14.59	6.2	84.9	0	2.2	0	2.6	10.3	4.4	1.26
3001	105-3-10	Tunevatnet	3001	105-3-10	11.0959	59.3188	6.55	543	14.6	2.25	29.7	0	0	0	0	70.3	34.4	9.24
3002	118-1-7	HOH113	3002	118-1-7	11.6898	59.2442	0.73	344	1.82	0.05	42.3	0	8.4	0	0	49.3	6.8	0.5
3003	118-1-39	Ekertjernet	3003	118-1-39	11.7423	59.3056	1.1	528	4.02	0.07	91.6	0	0	0	1.1	7.3	6.3	0.5
